account_name,account_id,follower_username,follower_id,follower_location
azzurri,233498480,pitte121691441,1541910919923507200,
azzurri,233498480,mhmdmna29341024,1541354205214015490,"بورسعيد, مصر"
azzurri,233498480,VerderioMarco,1531677378870747137,"Lombardy, Italy"
azzurri,233498480,MiguelBulit,1485786949046751235,
azzurri,233498480,chiaraint,1541902248367849477,
azzurri,233498480,hrst_karol,1541899143681032194,
azzurri,233498480,KingibzoFall,1540502320861118465,
azzurri,233498480,avdiu_driton,1475935544643407872,Albania
azzurri,233498480,ObedGimba,1389118582496366594,Nigeria
azzurri,233498480,fabrizio_gm_,1538575337260568576,
azzurri,233498480,rogerferrrari,169579886,
azzurri,233498480,dardo986,1541893242551164934,
azzurri,233498480,easy03815868,1541892888837201920,
azzurri,233498480,HYBRID47771910,1541891837648068614,
azzurri,233498480,guerrero_hawy,1534276352303583237,
azzurri,233498480,GabAbuKana,1541890796282122241,
azzurri,233498480,dyat12345678,1541888742113550336,
azzurri,233498480,Tondix22M,1541888648219615236,
azzurri,233498480,Federic071005,1541887754484719618,
azzurri,233498480,EgbonwonDamilo3,1388222748766490627,
azzurri,233498480,ftblmyvita99,1541884960558272514,
azzurri,233498480,Mertens2022,1541883767417102339,
azzurri,233498480,mariaventurel10,1541881592523771905,
azzurri,233498480,Herbert_lopez06,1411772963834236933,"Santa tecla, El Salvador 🇸🇻"
azzurri,233498480,juwellrb,1520137932568678400,gulshan dhaka 
azzurri,233498480,b_mohammad_391,1541875146461519875,
azzurri,233498480,davistrunz,1541876396703850497,
azzurri,233498480,Gelido_360,1541876844005396482,
azzurri,233498480,PellegrinoLepo2,1541875033466871812,
azzurri,233498480,mathiscls,1335594859583967234,
azzurri,233498480,AntonioDuman,1513709221975572489,
azzurri,233498480,NelsonM72819962,1536868971277914113,"Montevideo, Uruguay"
azzurri,233498480,RimEseyas,1541868808020934660,
azzurri,233498480,lorenzo63336176,1541870141377576961,
azzurri,233498480,rossoneriNews_,1541869948229894145,
azzurri,233498480,flexinGioo7,1541867612153446402,
azzurri,233498480,miki_zeri22,1541865823484141570,
azzurri,233498480,cadeddurinaldo1,1541863320801746945,"Cagliari, Sardinia"
azzurri,233498480,xuseen94676887,1541839473503346690,
azzurri,233498480,imZoZ_,1304088083202281472,"Paris, France"
azzurri,233498480,Victori39542879,1527016431992377344,
azzurri,233498480,fc_capogrosso,4059842506,"Trani, Puglia"
azzurri,233498480,jeffthe68747092,1541840776015101952,
azzurri,233498480,RiccardoZorzel,1541854314897068034,
azzurri,233498480,LabeneamataAmar,1166863171081998336,Jakarta Capital Region
azzurri,233498480,tumanabazul,270111099,Guayaquil
azzurri,233498480,AntonioSarcina5,1541843751315939328,
azzurri,233498480,ArasErgunay,1257246771178332160,
azzurri,233498480,Firman2187,1383777242472271872,Indonesia
azzurri,233498480,pmoretti93,1541159744873926659,
azzurri,233498480,SballoToure5,1541751600221388803,
azzurri,233498480,Ermafroditoo,1541840673569120260,
azzurri,233498480,LorisProvato,1541838490048102402,
