account_name,account_id,follower_username,follower_id,follower_location,follower_created_at
equipedefrance,2155215398,amsco95698006,1542523786158673921,,2022-06-30 15:02:12+00:00
equipedefrance,2155215398,MOHAMEDSAVANES2,1542524256218599426,,2022-06-30 15:04:10+00:00
equipedefrance,2155215398,AlessiaCorsini3,1308482668955422720,,2020-09-22 19:06:07+00:00
equipedefrance,2155215398,Souleym09018991,1542523454921920512,Guinea,2022-06-30 15:00:46+00:00
equipedefrance,2155215398,izhan_thanes,1542522359789146114,,2022-06-30 14:56:26+00:00
equipedefrance,2155215398,VeeLuyck,1542522779169222658,,2022-06-30 14:57:57+00:00
equipedefrance,2155215398,LeuzKane,1542522332345823237,,2022-06-30 14:56:15+00:00
equipedefrance,2155215398,TiboGosselin,1542521660124778496,,2022-06-30 14:53:35+00:00
equipedefrance,2155215398,JoelOrrala14,1542368207540994048,"Guayas, Ecuador",2022-06-30 04:44:05+00:00
equipedefrance,2155215398,tfrst_,1542522144793296898,,2022-06-30 14:55:36+00:00
equipedefrance,2155215398,Ananthuu786,4042328052,"Kerala, India",2015-10-28 03:42:28+00:00
equipedefrance,2155215398,GuyFaivre68,1542521811677483015,,2022-06-30 14:54:23+00:00
equipedefrance,2155215398,AuconieLeon,1542519863058374657,,2022-06-30 14:46:21+00:00
equipedefrance,2155215398,jean_gbadi,1542520637377245185,,2022-06-30 14:49:54+00:00
equipedefrance,2155215398,Sebasti39756714,1542204884023480322,,2022-06-29 17:54:53+00:00
equipedefrance,2155215398,thecatalan9,1542521295459344385,,2022-06-30 14:52:07+00:00
equipedefrance,2155215398,gabezjimmydu59,1542521758590173190,,2022-06-30 14:53:59+00:00
equipedefrance,2155215398,Prakash27617540,1468634496698560514,,2021-12-08 17:32:24+00:00
equipedefrance,2155215398,PoloLop810,1542520366760742912,,2022-06-30 14:48:18+00:00
equipedefrance,2155215398,Zertiix_64,1542520925634953217,,2022-06-30 14:50:34+00:00
equipedefrance,2155215398,mamadykabba5,1542520464794189826,,2022-06-30 14:49:25+00:00
equipedefrance,2155215398,AnatoleEkessi,1542520842826817536,,2022-06-30 14:50:33+00:00
equipedefrance,2155215398,NathanalMose1,1542520284938240002,,2022-06-30 14:48:18+00:00
equipedefrance,2155215398,FranoiseGuille3,1542521186508165124,,2022-06-30 14:51:44+00:00
