account_name,account_id,follower_username,follower_id,follower_location,follower_created_at
selecaoportugal,2550023839,Scorpio10299835,1545179352068931585,,2022-07-07 22:54:15+00:00
selecaoportugal,2550023839,bea14844029213,1545178941505282049,,2022-07-07 22:52:33+00:00
selecaoportugal,2550023839,BdalnasrAbwbkr,1494259176759074817,Sudan,2022-02-17 10:35:59+00:00
selecaoportugal,2550023839,elpelly7,1463341900346261505,Cuba,2021-11-24 03:01:46+00:00
selecaoportugal,2550023839,JaihdBrown,419601140,V3nU$,2011-11-23 15:12:12+00:00
selecaoportugal,2550023839,Du0782,1545167156274499584,,2022-07-07 22:06:06+00:00
selecaoportugal,2550023839,JoelTei45150979,1545178177265336323,,2022-07-07 22:49:33+00:00
selecaoportugal,2550023839,soropeza83,2314303958,,2014-01-27 21:01:38+00:00
selecaoportugal,2550023839,hnabill95,2198330560,"Lille, France",2013-11-27 19:46:04+00:00
selecaoportugal,2550023839,Okaduca,1534618826444349440,,2022-06-08 19:30:24+00:00
selecaoportugal,2550023839,Gomes845,1545173254939238403,,2022-07-07 22:30:21+00:00
selecaoportugal,2550023839,RAHMATALLA8,1245768441115676672,"الخرج, المملكة العربية السعودي",2020-04-02 17:42:08+00:00
selecaoportugal,2550023839,horla_omo,1273171366121005056,,2020-06-17 08:32:03+00:00
selecaoportugal,2550023839,Guilher45199822,1545176176611696640,,2022-07-07 22:42:05+00:00
selecaoportugal,2550023839,TiagoFe710,1545173700118462465,,2022-07-07 22:32:14+00:00
selecaoportugal,2550023839,harunaa51941163,1518492679964962817,,2022-04-25 07:31:24+00:00
selecaoportugal,2550023839,JorgeRo30254776,1506463114337865742,,2022-03-23 02:50:11+00:00
selecaoportugal,2550023839,LUAN06527191,1494868091607650308,,2022-02-19 02:55:14+00:00
selecaoportugal,2550023839,Rodr1_4,1545170668353986560,,2022-07-07 22:19:43+00:00
selecaoportugal,2550023839,MOHAMAAD462,1522974943478169600,,2022-05-07 16:22:28+00:00
selecaoportugal,2550023839,JoshuaRocheste8,1516491772289036298,,2022-04-19 19:00:24+00:00
selecaoportugal,2550023839,maty_didi,1545172478024196097,,2022-07-07 22:27:21+00:00
selecaoportugal,2550023839,Francis49443968,1445125004971159554,,2021-10-04 20:34:05+00:00
selecaoportugal,2550023839,niadelin532,2937718636,,2014-12-22 23:51:33+00:00
selecaoportugal,2550023839,Moggy0914,1508301117347794947,,2022-03-28 04:34:06+00:00
selecaoportugal,2550023839,azevedod4vid,1544659591572717568,,2022-07-06 12:29:02+00:00
selecaoportugal,2550023839,Itcicim,1495294517464948738,"Hialeah Gardens, FL",2022-02-20 07:10:27+00:00
selecaoportugal,2550023839,guilherme_frl,1544647673415929856,,2022-07-06 11:42:25+00:00
selecaoportugal,2550023839,chojoao2003,1540252741070635008,,2022-06-24 08:37:52+00:00
selecaoportugal,2550023839,Assasin1298,1517813614207455232,Portugal,2022-04-23 10:32:32+00:00
selecaoportugal,2550023839,Ricardo41597649,1545167979524104195,,2022-07-07 22:09:25+00:00
selecaoportugal,2550023839,Ricarvm_,1301322883298406403,,2020-09-03 00:58:26+00:00
selecaoportugal,2550023839,TerstenBey,1446174671624413186,,2021-10-07 18:04:59+00:00
selecaoportugal,2550023839,ransfordwest,3416312087,"Techiman, Ghana",2015-08-11 22:03:08+00:00
selecaoportugal,2550023839,abdullah223398,1482226927138004995,,2022-01-15 05:44:10+00:00
selecaoportugal,2550023839,Akorede99x,1535752180254543872,,2022-06-11 22:34:14+00:00
selecaoportugal,2550023839,the_sinchesters,1545166257938468867,,2022-07-07 22:02:22+00:00
selecaoportugal,2550023839,Jay_LUHG,1545162948842344449,"London, England",2022-07-07 21:48:56+00:00
selecaoportugal,2550023839,BrasserieDylan,1545166483369648136,,2022-07-07 22:03:05+00:00
selecaoportugal,2550023839,rvarela_20,1248268774245105664,"England, United Kingdom",2020-04-09 15:17:31+00:00
selecaoportugal,2550023839,Escanor04116721,1346581744380768256,Iraq,2021-01-05 22:19:27+00:00
selecaoportugal,2550023839,Francisco6002_,1545164903148814336,,2022-07-07 21:56:53+00:00
selecaoportugal,2550023839,AOlowogbade,1545160035256471552,,2022-07-07 21:37:30+00:00
selecaoportugal,2550023839,CathyHa83070505,1545164589222039555,,2022-07-07 21:55:52+00:00
selecaoportugal,2550023839,El_Zinho,145431571,Cape Town,2010-05-18 23:55:46+00:00
selecaoportugal,2550023839,AlToorey,1515362767863169033,,2022-04-16 16:14:20+00:00
selecaoportugal,2550023839,Funcionario_g8n,1544854564788178949,Portugal,2022-07-07 01:23:53+00:00
selecaoportugal,2550023839,carlosaugus735,326513554,assis sp,2011-06-30 01:31:34+00:00
selecaoportugal,2550023839,AbdullahRabiu90,1265379342735085570,"Kano, Nigeria",2020-05-26 20:28:52+00:00
selecaoportugal,2550023839,sandraf471,1238970342728761344,,2020-03-14 23:28:59+00:00
selecaoportugal,2550023839,Tamarahazevedo,1545159801419743232,,2022-07-07 21:36:42+00:00
selecaoportugal,2550023839,mclarinhaacosta,1545160059851792385,,2022-07-07 21:37:46+00:00
selecaoportugal,2550023839,IagoCha09648726,1545160089228775426,,2022-07-07 21:38:36+00:00
selecaoportugal,2550023839,Rafael_15_27,1545159029567246337,,2022-07-07 21:34:00+00:00
selecaoportugal,2550023839,Veratrutarsd,1545159464264802307,,2022-07-07 21:35:25+00:00
selecaoportugal,2550023839,SamiSal92566192,1545153269802090497,,2022-07-07 21:11:06+00:00
selecaoportugal,2550023839,Bernard73951539,1545158889154482177,,2022-07-07 21:32:55+00:00
selecaoportugal,2550023839,sofias44752343,1545156782829494288,,2022-07-07 21:24:43+00:00
selecaoportugal,2550023839,HaggagWaad,1288248269785661440,,2020-07-28 23:01:46+00:00
selecaoportugal,2550023839,rsandns,1258233938960510976,,2020-05-07 03:15:39+00:00
selecaoportugal,2550023839,SniaFer23412449,1545157489540431872,,2022-07-07 21:27:22+00:00
selecaoportugal,2550023839,Riki_SLB,1545132278082330626,,2022-07-07 19:47:16+00:00
selecaoportugal,2550023839,Omlet07,1545155863412875264,,2022-07-07 21:21:06+00:00
selecaoportugal,2550023839,Jcastri8,1538869287179497472,,2022-06-20 13:00:29+00:00
selecaoportugal,2550023839,Ritanmb,1545153876692815872,,2022-07-07 21:16:32+00:00
selecaoportugal,2550023839,SlwhAlsalh,1534603892478164997,,2022-06-08 18:32:06+00:00
selecaoportugal,2550023839,tes188,1317950694763208709,"Uyo, Nigeria",2020-10-18 22:10:56+00:00
selecaoportugal,2550023839,firyalHasnakha1,1541183359178928128,,2022-06-26 22:15:38+00:00
selecaoportugal,2550023839,TiagoSa05560042,1545154177290076161,,2022-07-07 21:14:18+00:00
selecaoportugal,2550023839,143Braylin,1509254514901143556,,2022-03-30 19:41:52+00:00
selecaoportugal,2550023839,FilipeN42356504,1545153699202453504,,2022-07-07 21:12:37+00:00
selecaoportugal,2550023839,henrique080823,1545152317753892866,,2022-07-07 21:06:56+00:00
selecaoportugal,2550023839,Jefferson0044,1538339932783140866,port Harcourt ,2022-06-19 01:56:53+00:00
selecaoportugal,2550023839,MelDoce07568331,1545153093658107904,,2022-07-07 21:09:58+00:00
selecaoportugal,2550023839,JorgeEstevao63,1545128386170863622,,2022-07-07 19:32:41+00:00
selecaoportugal,2550023839,JeanKabunda3,1510606170788147208,,2022-04-03 13:12:59+00:00
selecaoportugal,2550023839,CamaraBadrah,1542279382890340353,,2022-06-29 22:51:04+00:00
selecaoportugal,2550023839,denisjose68,1535717427450892289,"Taubaté, Brasil",2022-06-11 20:16:13+00:00
selecaoportugal,2550023839,SaeedSalisu15,1535634635144761344,,2022-06-11 14:47:07+00:00
selecaoportugal,2550023839,thisisxet,1545146388413091840,,2022-07-07 20:43:32+00:00
selecaoportugal,2550023839,Joaquim45760928,1545147453984342016,,2022-07-07 20:48:12+00:00
selecaoportugal,2550023839,KEVINGA42548153,1100612996659855363,"La Habana,Cuba ",2019-02-27 04:26:01+00:00
selecaoportugal,2550023839,CarlaSofiaLope4,992997763,Lisboa,2012-12-06 12:36:32+00:00
selecaoportugal,2550023839,Nuno_cms,1545149162014097408,,2022-07-07 20:55:00+00:00
selecaoportugal,2550023839,Ant17014657Toms,1545147402876854272,,2022-07-07 20:47:21+00:00
selecaoportugal,2550023839,miguel27774770,1545147790917091328,,2022-07-07 20:48:50+00:00
selecaoportugal,2550023839,Jessica08192745,1545146193810014209,,2022-07-07 20:42:35+00:00
selecaoportugal,2550023839,JooPina13146765,1545146390518571010,,2022-07-07 20:44:20+00:00
selecaoportugal,2550023839,TepeGF,1479087552531513344,,2022-01-06 13:49:03+00:00
selecaoportugal,2550023839,josuerosa9720,1545145433282027520,,2022-07-07 20:39:24+00:00
selecaoportugal,2550023839,Amrdjj827,1544057032948465664,,2022-07-04 20:34:43+00:00
selecaoportugal,2550023839,JooJosMorenoMa1,1545142455720361984,,2022-07-07 20:28:28+00:00
selecaoportugal,2550023839,Kamranfaizx7,1524514211178725384,,2022-05-11 22:18:15+00:00
selecaoportugal,2550023839,AlaswanyEslam,1449160516572753921,,2021-10-15 23:49:45+00:00
selecaoportugal,2550023839,ChaudhryAsfand2,1538568931295866881,"Jhelum, Pakistan",2022-06-19 17:06:52+00:00
selecaoportugal,2550023839,GervasioMarket,1544064914129666057,"Machupicchu, Peru",2022-07-04 21:05:53+00:00
selecaoportugal,2550023839,mateusrebelo20,1545137751879712772,,2022-07-07 20:09:22+00:00
selecaoportugal,2550023839,DeFi_ANCIENTS,1448681779792158725,Everywhere,2021-10-14 16:07:19+00:00
selecaoportugal,2550023839,laraa_rebelloo,1545139524937867276,,2022-07-07 20:16:43+00:00
selecaoportugal,2550023839,dennis_darkwave,1544700501673082882,,2022-07-06 15:11:34+00:00
selecaoportugal,2550023839,DulceSa61294228,1545138650668736514,,2022-07-07 20:12:50+00:00
